GDP,RnD,population,energy,unemployment,employment,migration,trade,tourism,exchange_rate
8816884123,925734.4986,2985596.565,0.100639231,210833.8882,637727.7555,-141432.6,6096960448,28.11563954,115.7555023
2.37046E+11,313160577.8,6197494.783,2.170308462,101338.8298,3289690.179,1151490.4,2.63649E+11,7.264371125,3.672375
3.65012E+11,1630726480,39747385.04,2.759697692,1991238.383,9751251.37,-40199.2,1.13716E+11,1.855604417,5.457360747
6886070865,15200702.04,2980269.043,0.177918462,188043.4305,663716.8529,-124655.8,5018412122,10.12915742,456.8555263
8.96571E+11,8454359745,21255503.7,5.050717692,652164.0627,6686157.278,767683.4,3.69561E+11,1.900796458,1.346283086
3.33899E+11,7241644922,8305101.696,1.451720769,211880.5575,2337525.81,152826.6,3.12022E+11,1.523203917,1.529124638
31585074996,77914886.96,8748534.391,0.606433077,299989.0299,2456766.098,-4349,27382382153,12.8858625,0.970827558
1696914898,559273.6388,8111217.826,0.006786923,64312.3384,2815590.765,-68512.8,503157267.1,14.55366879,1118.012336
4.02874E+11,7395339081,10713305,2.729289231,364223.3365,2254433.84,212674.4,5.92991E+11,0.542090375,4.479741087
7242545346,7151793.103,14555368.35,0.017375385,237712.4801,3916543.509,-127499.8,3094631080,846.5124129,556.1031617
37299374186,186814402.1,7623397.652,0.878153846,386402.2617,1616418.991,-70307.8,39256494926,6.873391667,1.597136018
20422882100,898251.6318,1028005.348,0.409500769,5793.535,378997.6847,148736,30061732112,1.87046275,0.375999995
39999867435,260758092.3,9690497.391,1.034916923,453603.7266,2782394.411,39899.2,50956642776,10.25358292,0.569100395
18288337600,17884165.34,9561513.261,0.177306923,130015.3485,2987054.109,-73759.8,11638569108,6.437765042,6.857312103
1.4194E+12,11598333258,188950528.7,8.814878462,8059773.202,52776552.87,9184.8,3.45249E+11,0.9090065,2.265527012
10738506794,6182812.009,1872457.652,0.052385385,150253.9504,419513.0966,18910.8,10269138231,10.51589408,6.662229952
1.25728E+12,21745615316,33056275.26,13.31272615,1311848.298,11000086.73,1052787.8,8.65366E+11,2.530177708,1.261060691
4.91292E+11,3571697484,7667051.435,1.284262308,177290.6467,2837793.188,248696.4,5.20708E+11,0.950321333,1.202485108
1.67984E+11,261936982.8,16564714.35,1.082619231,633814.057,4077228.103,57260.8,1.0789E+11,5.015197083,557.7410473
5.21542E+12,64736143692,1313625870,52.59994846,31966044.16,534637625.6,-1625482,2.38174E+12,11.20761875,7.401428715
2.11085E+11,383709145.1,43467268.87,1.231406154,2623339.894,13039457.39,-156801,77028855966,5.022278167,2163.539099
31396005578,104620909.4,4377353.261,0.159416923,138755.2325,1125298.85,39540,24472631813,4.628844875,444.2683418
18802673655,57877245.53,1050832.565,0.111435385,38579.44949,306220.8451,43391.6,22897561606,0.773276792,0.271839709
1.52819E+11,1861156415,10377747.91,1.502625385,322436.5666,2922078.233,92857.4,1.8512E+11,1.738186125,25.33916362
3.0383E+12,70684678672,81958612.96,14.40485923,3097570.517,22707667.15,1034147,2.18235E+12,0.543710833,0.217325983
2.7044E+11,6022843345,5492196.565,0.888589231,160979.9769,1778259.841,78340.4,2.46224E+11,0.715888042,6.312920338
1.23611E+11,83624902.88,34832024.78,1.357984615,1767088.904,3658094.909,-184050.2,73880675526,5.127462917,78.01458931
58718215552,80337751.92,14324075.17,0.386084615,275318.4703,4194829.18,-60755.4,30987731052,5.671960625,1062.613713
1.1126E+12,11173841324,44067403.91,5.786529231,3498423.802,9892577.015,1126452,6.33196E+11,2.916759458,18.36828449
16547782386,162629015.2,1351597.217,0.22152,64349.81748,375975.7011,-10053.8,23675766015,6.320335125,8.801057409
30256298637,15735511.63,81959937.91,0.076570769,956271.1936,29048456.29,-81778.6,4113180844,12.288095,13.00587698
2.09674E+11,6147070706,5309126.609,1.253766154,253660.7408,1433685.237,52612.6,1.55943E+11,0.172790542,0.657784819
2.22385E+12,43721062608,63694579.17,10.97407923,2774267.642,14597594.55,434705.2,1.23299E+12,1.435777083,0.732683906
11109424655,7276528.244,1537024.391,0.041274615,85757.15299,182182.188,39902.2,9204516847,1.713093458,556.1031617
2.34539E+12,34750854169,61698463.39,9.772723846,1850369.707,18106724.18,1077484.6,1.28374E+12,0.821554583,0.630770617
9301337215,14081981.9,3918183.696,0.148454615,290635.3226,1150737.87,-259661.6,7782637438,13.75969033,1.866760943
27465803540,7261958.456,23215383.17,0.133828462,668303.4516,6479196.217,18428.4,21629917626,6.329328333,1.56596079
2.211E+11,1078836805,10898022.7,1.360046154,720789.8274,2243981.32,75874.2,1.21541E+11,4.202152292,64.36276808
38379297437,8377533.164,13783491.87,0.169860769,151232.7368,3105206.072,-178762.2,21802893577,4.961500583,7.532388877
13174261590,1279335.359,7774336.609,0.101217692,130865.8754,1930185.097,-31999.8,15571696000,6.078111083,15.98102903
45451874175,303781355.8,4316993.13,0.385158462,246215.4955,883696.2708,-54796,37608036699,6.213464583,6.277517025
1.05492E+11,962889632.8,10045225.83,1.081607692,328360.3277,2027725.396,45059.8,1.49533E+11,3.890807833,226.4585145
5.23625E+11,64490075.54,233070389.5,4.369645385,6229624.308,68238114.24,-720197.4,2.88119E+11,2.592630333,9591.89855
1.26034E+12,7120490803,1177143011,14.72496923,12054114.25,239649482.3,-2121970,4.9648E+11,6.290520417,49.63845536
2.06583E+11,2441933988,4280269.13,0.607725385,175521.2985,1208942.055,73001.2,3.60074E+11,4.612911667,0.086388804
98356229455,15037812.21,28672660.09,1.135773846,623234.6036,2731920.181,-47735,91545156396,1.639528542,1416.585493
14636401269,260430578.7,306387.2609,0.145601538,7047.177412,133939.4477,3140.8,12070080154,7.157015667,94.53038542
2.04375E+11,7264851547,7238143.478,0.812999231,289490.9758,1856039.642,138280.6,1.33624E+11,2.681993125,3.934299468
1.78496E+12,18480069071,58589872.65,7.726965385,2398484.833,10639038.7,693745.4,9.21413E+11,1.445495333,216.6196199
11809655660,565117.6965,2762890.609,0.155520769,170691.8435,749686.8016,-88186,9917124558,0.821696542,75.4084027
21144306592,10145589.89,6813050.913,0.250572308,238979.7176,615850.5144,276247.6,24807582277,5.520264167,0.709463014
1.03253E+11,186648474.3,16034195.43,2.020536923,671445.0785,5412414.644,-231168.6,78501403701,6.507422583,162.0282806
35660960961,17690627.49,39227113.74,0.169774615,1450840.989,9131742.495,-57114.4,18620446147,2.04929375,79.46307578
10146215025,741247.1786,13686079,0.044519231,113136.6243,5800616.619,-56529.2,11866315988,19.76637612,3904.178614
93555641785,128956689.9,2743666,0.96413,23796.61899,1048908.317,303600,82894988647,3.45782475,0.294085395
43498739023,23536600.31,19841520.74,0.19171,538074.2245,4229703.003,-473200,28329871795,8.387893625,106.7238308
1775914448,175213.2637,2017928.609,0.005278462,259880.062,420457.6634,-39885,1071432405,3.254234583,8.47450806
30664236255,210726098.1,3218922.13,0.350783846,179829.9988,813857.565,-103035.2,37475383026,10.15020042,2.58193587
43388117470,419745703.3,492974.0435,0.171202308,9810.172512,119288.4423,30079.4,1.35498E+11,3.95578775,4.479741087
20516007472,94666834.88,2184212.261,0.166646923,135290.8651,559701.9403,-67802,20864921251,12.6062055,0.434967029
75474373993,110232948.4,31414878,0.473720769,1157508.223,4737169.098,-468709,52759370443,7.190183625,9.187000224
5117291138,17241066.06,3592317.217,0.130081538,87316.85541,579155.6297,-49829.2,5858357883,-0.744360667,12.45723322
7242947615,8177791.715,19660335.83,0.034162308,322716.0195,8164588.869,-7700,4579013705,9.145067792,1934.638453
9.28725E+11,3509215657,109486850,6.467060769,1825561.413,27087946.31,-1222431.6,5.52467E+11,2.5081235,12.13426631
8558927169,5245133.845,13929100.65,0.010915385,396537.3664,3387818.615,-162466.4,4948602377,10.90724167,556.1031617
7697112232,28842518.56,413716.6957,0.039257692,11026.5543,83499.58668,6495.4,20132459671,1.617311417,0.19894933
2831117528,8053138.426,615421.8261,0.008190769,59396.25396,96287.03054,-7156.4,2446742687,12.82527721,0.736076824
5850311453,11857385.82,2655219.87,0.071677692,66374.99876,618529.7768,-22493.4,6521958496,26.89911167,1361.801703
9448521950,7349265.775,22009545.7,0.113769231,314859.0778,7956870.491,-21999.2,7583718158,9.698752958,28.66901014
8432675359,11562224.5,1224687.783,0.049657692,45021.15208,297186.1891,-10477.6,9767992219,5.090725875,29.20577929
1.99939E+11,910237124.3,26556241,2.072979231,379502.3465,7032752.526,576640.2,3.5054E+11,10.18078113,3.564770193
8342126128,1746804.941,2028488.13,0.049493846,152812.073,327785.4016,-13622,8166749767,11.87406621,8.478607834
2.61097E+11,24856455.94,148960550.2,0.935849231,1941079.49,24240756.02,-233005.4,96355998094,9.5385125,140.9618528
8139072505,2083637.948,5600427.826,0.063366154,145041.6284,1389549.682,-143068,6705231870,8.284716125,19.11210957
6.97356E+11,11659923313,16407704.96,3.973016154,392832.2316,5226584.187,106594.6,9.11906E+11,1.677363708,0.244386942
3.31863E+11,4272974264,4785294.304,1.866196923,95190.28366,1605701.552,130284,2.33179E+11,1.871405458,7.027083057
12726877537,3407649.128,25711366,0.059324615,216553.9962,11210299.05,-601762.4,6343792917,4.226804583,79.43056296
44963439588,28410051.56,3040156.391,0.406756923,60164.06468,803955.6071,302225.6,43325857127,13.16008846,0.3845
28622251696,52145387.03,3465131.13,0.212696154,57318.88005,963759.5573,21542.6,36745436027,11.06102792,1
1.19135E+11,80908937.39,28313366.91,0.56651,631578.7165,10395402.24,-416907.8,52932820930,7.950253833,3.101477856
3.64796E+11,2316311103,38198143.22,3.777999231,2050833.53,8782134.381,-114225,2.79567E+11,1.632286333,3.424947005
1.90846E+11,1776088065,10392623.3,1.047780769,454269.3814,2947652.371,54817.8,1.3323E+11,3.65894275,22.15915594
21469736429,8995259.484,5967005.217,0.4105,175275.4109,1807677.931,-75428.8,16764579689,2.60452,4622.764711
91661839414,39386295.34,1446612.087,0.697574615,8748.790863,840739.4122,377344.4,80537032024,10.50816042,3.64
1.26909E+11,527780669.8,20987391.83,1.732739231,656588.7229,5362019.968,-460570.4,85356825311,2.28097625,2.807480163
4.32602E+11,722572719.8,25672654.74,5.496284615,501556.7404,4497505.995,711000,3.22443E+11,-0.314148458,3.75
45626600006,55127050.01,32642804.96,0.13019,1344856.193,3763948.339,-619307.4,13559436110,9.524266625,3.013723755
13300979634,9607413.251,11949799.87,0.069684615,251577.5318,1509170.844,-145407.6,8115763272,6.22935875,556.1031617
17056825052,7532516.423,6090620.174,0.11591,143621.1115,1423494.86,-273683.8,12141973335,7.291931333,2.685923913
33399527135,216588382.3,7341887.087,0.169103846,541616.3993,1461512.22,-207723.4,24079533948,16.00245483,64.96910701
38259788783,599596430.9,2023339.913,0.305063077,69658.55893,543258.8305,15681.2,47264801671,0.756943167,92.6885958
4.20053E+11,10495516761,9279276.609,2.289669231,352189.7371,2845035.086,183320.8,3.48354E+11,3.217541958,7.789605138
7189017585,1006993.824,11000183.13,0.002940769,63239.8,2874038.163,94682,5356800507,11.56015204,556.1031617
2949760205,960326.4975,6007131.087,0.024897692,52612.90135,2125809.167,8001.8,2484563387,10.82622808,556.1031617
2.71213E+11,642820803.4,65705737.78,3.084321538,483068.9825,26700347.2,278618.8,3.30977E+11,6.850157625,35.5465528
4218083100,2954693.853,7215773.13,0.253986154,242830.1971,721185.8418,-130105.4,4487211268,9.601432083,3.855478261
34688363598,150230174.9,10365331.48,0.313506154,530385.4739,1427007.777,-58950.6,30874885284,2.420823333,1.50264837
5.7281E+11,3126327516,70105664.17,3.394051538,2308989.273,11036049.79,592435.6,2.7757E+11,6.522934333,1.626367055
27737126122,15067651.08,41644325,0.075661538,571204.8811,16396517.5,-233428.2,10482100141,10.40197375,1302.253819
14831321016,20077352.71,30276308.52,0.03545,279475.8605,7489412.009,-97147.4,6317361148,12.75195125,2142.303857
97698033445,774240348.9,47089263.83,6.052222308,1948188.122,11163221.67,-131633.6,97633993816,3.46993075,9.14400905
33722700120,80759268.87,3348738.913,0.158183846,164558.8588,947777.7267,-45000,16075744021,4.829005833,20.81115543
1.38781E+13,3.33152E+11,300259175.3,98.18551154,8885775.465,93079799.3,5570460.2,3.46787E+12,2.42871675,1
33898638319,62227140.82,27536295.65,2.069954615,897616.6604,7081849.333,-147169.2,18506627240,11.1595225,1029.62482
1.01297E+11,52757530.09,85681451.87,0.96085,933821.9718,36173627.45,-433203.6,1.43339E+11,17.53213417,17274.67377
2.60746E+11,1330993525,49580727.78,4.849283077,5139121.841,7345063.601,528700,1.48417E+11,3.593337208,8.47450806
14146164948,2199851.66,12838996.52,0.111173077,598656.5158,3676329.818,-42420.6,9526632254,7.64230125,4.936638548
